Category,Specification,SR130B,SR150B,SR175B,SV185B,SR200B,SR220B,SR250B,SV250B,SV300B
,,,,,,,,,,
TRANSMISSION,Type,Hydrostatic,,,,,,,,
TRANSMISSION,Travel speeds (km/h),"12,7",,,,,,,,
AUXILIARY HYDRAULICS,Pressure (bar),210,,,,,,,,
AUXILIARY HYDRAULICS,Standard flow (l/m),59,,,,,,,,
AUXILIARY HYDRAULICS,High flow (l/m),NA,,,,,,,,
WEIGHT,Machine weight kg,2300,,,,,,,,
WEIGHT,Rated operating capacity kg,590,,,,,,,,
WEIGHT,Tipping load kg,1179,,,,,,,,
WEIGHT,Bucket breakout force kN,"18,6",,,,,,,,
WEIGHT,Loader arm breakout force kN,"12,7",,,,,,,,
WEIGHT,Tyre size (in),10 x 16.5,,,,,,,,
DIMENSIONS,Length (m),"3,2",,,,,,,,
DIMENSIONS,Width (m),"1,5",,,,,,,,
DIMENSIONS,Height (m),"1,9",,,,,,,,
,,,,,,,,,,
TRANSMISSION,Type,,Hydrostatic,,,,,,,
TRANSMISSION,Travel speeds (km/h),,"12,7",,,,,,,
AUXILIARY HYDRAULICS,Pressure (bar),,210,,,,,,,
AUXILIARY HYDRAULICS,Standard flow (l/m),,59,,,,,,,
AUXILIARY HYDRAULICS,High flow (l/m),,NA,,,,,,,
WEIGHT,Machine weight kg,,2430,,,,,,,
WEIGHT,Rated operating capacity kg,,680,,,,,,,
WEIGHT,Tipping load kg,,1361,,,,,,,
WEIGHT,Bucket breakout force kN,,"18,6",,,,,,,
WEIGHT,Loader arm breakout force kN,,"14,1",,,,,,,
WEIGHT,Tyre size (in),,10 x 16.5,,,,,,,
DIMENSIONS,Length (m),,"3,2",,,,,,,
DIMENSIONS,Width (m),,"1,5",,,,,,,
DIMENSIONS,Height (m),,"1,9",,,,,,,
,,,,,,,,,,
TRANSMISSION,Type,,,Hydrostatic,,,,,,
TRANSMISSION,Travel speeds (km/h),,,12.7/18 (opt),,,,,,
AUXILIARY HYDRAULICS,Pressure (bar),,,210,,,,,,
AUXILIARY HYDRAULICS,Standard flow (l/m),,,72,,,,,,
AUXILIARY HYDRAULICS,High flow (l/m),,,109,,,,,,
WEIGHT,Machine weight kg,,,2842,,,,,,
WEIGHT,Rated operating capacity kg,,,790,,,,,,
WEIGHT,Tipping load kg,,,1588,,,,,,
WEIGHT,Bucket breakout force kN,,,"32,3",,,,,,
WEIGHT,Loader arm breakout force kN,,,"16,9",,,,,,
WEIGHT,Tyre size (in),,,10 x 16.5/12 x 16.5,,,,,,
DIMENSIONS,Length (m),,,"3,54",,,,,,
DIMENSIONS,Width (m),,,"1,64",,,,,,
DIMENSIONS,Height (m),,,"1,97",,,,,,
,,,,,,,,,,
TRANSMISSION,Type,,,,Hydrostatic,,,,,
TRANSMISSION,Travel speeds (km/h),,,,12.7 /18 (opt),,,,,
AUXILIARY HYDRAULICS,Pressure (bar),,,,210,,,,,
AUXILIARY HYDRAULICS,Standard flow (l/m),,,,72,,,,,
AUXILIARY HYDRAULICS,High flow (l/m),,,,109,,,,,
WEIGHT,Machine weight kg,,,,2980,,,,,
WEIGHT,Rated operating capacity kg,,,,840,,,,,
WEIGHT,Tipping load kg,,,,1678,,,,,
WEIGHT,Bucket breakout force kN,,,,"24,7",,,,,
WEIGHT,Loader arm breakout force kN,,,,"15,3",,,,,
WEIGHT,Tyre size (in),,,,10 x 16.5 /12 x 16.5,,,,,
DIMENSIONS,Length (m),,,,"3,57",,,,,
DIMENSIONS,Width (m),,,,"1,64",,,,,
DIMENSIONS,Height (m),,,,"1,97",,,,,
,,,,,,,,,,
TRANSMISSION,Type,,,,,Hydrostatic,,,,
TRANSMISSION,Travel speeds (km/h),,,,,11.4/16.9 (opt),,,,
AUXILIARY HYDRAULICS,Pressure (bar),,,,,210,,,,
AUXILIARY HYDRAULICS,Standard flow (l/m),,,,,85,,,,
AUXILIARY HYDRAULICS,High flow (l/m),,,,,116,,,,
WEIGHT,Machine weight kg,,,,,3160,,,,
WEIGHT,Rated operating capacity kg,,,,,905,,,,
WEIGHT,Tipping load kg,,,,,1814,,,,
WEIGHT,Bucket breakout force kN,,,,,"32,3",,,,
WEIGHT,Loader arm breakout force kN,,,,,"20,3",,,,
WEIGHT,Tyre size (in),,,,,10 x 16.5/12 x 16.5,,,,
DIMENSIONS,Length (m),,,,,"3,54",,,,
DIMENSIONS,Width (m),,,,,"1,75",,,,
DIMENSIONS,Height (m),,,,,"1,97",,,,
,,,,,,,,,,
TRANSMISSION,Type,,,,,,Hydrostatic,,,
TRANSMISSION,Travel speeds (km/h),,,,,,11.3/16.9 (opt),,,
AUXILIARY HYDRAULICS,Pressure (bar),,,,,,210,,,
AUXILIARY HYDRAULICS,Standard flow (l/m),,,,,,85,,,
AUXILIARY HYDRAULICS,High flow (l/m),,,,,,142,,,
WEIGHT,Machine weight kg,,,,,,3350,,,
WEIGHT,Rated operating capacity kg,,,,,,1000,,,
WEIGHT,Tipping load kg,,,,,,2000,,,
WEIGHT,Bucket breakout force kN,,,,,,"38,7",,,
WEIGHT,Loader arm breakout force kN,,,,,,"24,4",,,
WEIGHT,Tyre size (in),,,,,,12 x 16.5/14 x 17.5,,,
DIMENSIONS,Length (m),,,,,,"3,84",,,
DIMENSIONS,Width (m),,,,,,"1,76",,,
DIMENSIONS,Height (m),,,,,,"2,0",,,
,,,,,,,,,,
TRANSMISSION,Type,,,,,,,Hydrostatic,,
TRANSMISSION,Travel speeds (km/h),,,,,,,11.3/16.9 (opt),,
AUXILIARY HYDRAULICS,Pressure (bar),,,,,,,210/277 (opt),,
AUXILIARY HYDRAULICS,Standard flow (l/m),,,,,,,85,,
AUXILIARY HYDRAULICS,High flow (l/m),,,,,,,142,,
WEIGHT,Machine weight kg,,,,,,,3490,,
WEIGHT,Rated operating capacity kg,,,,,,,1135,,
WEIGHT,Tipping load kg,,,,,,,2270,,
WEIGHT,Bucket breakout force kN,,,,,,,"33,3",,
WEIGHT,Loader arm breakout force kN,,,,,,,"25,3",,
WEIGHT,Tyre size (in),,,,,,,12 x 16.5/14 x 17.5,,
DIMENSIONS,Length (m),,,,,,,"3,83",,
DIMENSIONS,Width (m),,,,,,,"1,76",,
DIMENSIONS,Height (m),,,,,,,"2,0",,
,,,,,,,,,,
TRANSMISSION,Type,,,,,,,,Hydrostatic,
TRANSMISSION,Travel speeds (km/h),,,,,,,,11.3/16.9 (opt),
AUXILIARY HYDRAULICS,Pressure (bar),,,,,,,,210,
AUXILIARY HYDRAULICS,Standard flow (l/m),,,,,,,,85,
AUXILIARY HYDRAULICS,High flow (l/m),,,,,,,,142,
WEIGHT,Machine weight kg,,,,,,,,3630,
WEIGHT,Rated operating capacity kg,,,,,,,,1135,
WEIGHT,Tipping load kg,,,,,,,,2270,
WEIGHT,Bucket breakout force kN,,,,,,,,"33,7",
WEIGHT,Loader arm breakout force kN,,,,,,,,"21,4",
WEIGHT,Tyre size (in),,,,,,,,12 x 16.5 /14 x 16.5,
DIMENSIONS,Length (m),,,,,,,,"3,83",
DIMENSIONS,Width (m),,,,,,,,"1,76",
DIMENSIONS,Height (m),,,,,,,,"2,0",
,,,,,,,,,,
TRANSMISSION,Type,,,,,,,,,Hydrostatic
TRANSMISSION,Travel speeds (km/h),,,,,,,,,11.3/16.9 (opt)
AUXILIARY HYDRAULICS,Pressure (bar),,,,,,,,,210
AUXILIARY HYDRAULICS,Standard flow (l/m),,,,,,,,,85
AUXILIARY HYDRAULICS,High flow (l/m),,,,,,,,,142/207 (opt)
WEIGHT,Machine weight kg,,,,,,,,,3765
WEIGHT,Rated operating capacity kg,,,,,,,,,1364
WEIGHT,Tipping load kg,,,,,,,,,2727
WEIGHT,Bucket breakout force kN,,,,,,,,,"33,7"
WEIGHT,Loader arm breakout force kN,,,,,,,,,"25,5"
WEIGHT,Tyre size (in),,,,,,,,,12 x 16.5 /14 x 16.5
DIMENSIONS,Length (m),,,,,,,,,"3,83"
DIMENSIONS,Width (m),,,,,,,,,"1,76"
DIMENSIONS,Height (m),,,,,,,,,"2,0"
