id,model_name,product_family,product_category,Engine Power - ISO 14396,Engine Model,Net Power - ISO 9249
1,FM528 GF/FM528 LL,Forest Machines,Forest Machines,173 hp,Cat C4.4,170 hp
2,FM538 GF/FM538 LL,Forest Machines,Forest Machines,174 hp,Cat C7.1,172 hp
3,FM548 GF/FM548 LL,Forest Machines,Forest Machines,275 hp,Cat C7.1,271 hp
4,FM558 GF/FM558 LL,Forest Machines,Forest Machines,302 hp,Cat C7.1,298 hp
5,FM568 GF/FM568 LL,Forest Machines,Forest Machines,347 hp,Cat C9.3B,346 hp
6,FM528 GF/FM528 LL,Forest Machines,Forest Machines,173 hp,Cat C4.4,170 hp
7,FM538 GF/FM538 LL,Forest Machines,Forest Machines,174 hp,Cat C7.1,172 hp
8,FM548 GF/FM548 LL,Forest Machines,Forest Machines,275 hp,Cat C7.1,271 hp
9,FM558 GF/FM558 LL,Forest Machines,Forest Machines,302 hp,Cat C7.1,298 hp
10,FM568 GF/FM568 LL,Forest Machines,Forest Machines,347 hp,Cat C9.3B,346 hp
11,FM528 GF/FM528 LL,Forest Machines,Forest Machines,173 hp,Cat C4.4,170 hp
12,FM538 GF/FM538 LL,Forest Machines,Forest Machines,174 hp,Cat C7.1,172 hp
13,FM548 GF/FM548 LL,Forest Machines,Forest Machines,275 hp,Cat C7.1,271 hp
14,FM558 GF/FM558 LL,Forest Machines,Forest Machines,302 hp,Cat C7.1,298 hp
15,FM568 GF/FM568 LL,Forest Machines,Forest Machines,347 hp,Cat C9.3B,346 hp
16,FM528 GF/FM528 LL,Forest Machines,Forest Machines,173 hp,Cat C4.4,170 hp
17,FM538 GF/FM538 LL,Forest Machines,Forest Machines,174 hp,Cat C7.1,172 hp
18,FM548 GF/FM548 LL,Forest Machines,Forest Machines,275 hp,Cat C7.1,271 hp
19,FM558 GF/FM558 LL,Forest Machines,Forest Machines,302 hp,Cat C7.1,298 hp
20,FM568 GF/FM568 LL,Forest Machines,Forest Machines,347 hp,Cat C9.3B,346 hp
21,FM528 GF/FM528 LL,Forest Machines,Forest Machines,173 hp,Cat C4.4,170 hp
22,FM538 GF/FM538 LL,Forest Machines,Forest Machines,174 hp,Cat C7.1,172 hp
23,FM548 GF/FM548 LL,Forest Machines,Forest Machines,275 hp,Cat C7.1,271 hp
24,FM558 GF/FM558 LL,Forest Machines,Forest Machines,302 hp,Cat C7.1,298 hp
25,FM568 GF/FM568 LL,Forest Machines,Forest Machines,347 hp,Cat C9.3B,346 hp
