id,model_name,product_family,product_category,Cutting/Mixing Width,Gross Power,Maximum Operating Weight
1,RM400,Road Reclaimers,Road Reclaimer,96 in,415.7 hp,57682 lb
2,RM500 (Tier 4F / EU Stage V),Road Reclaimers,Road Reclaimer,96 in,546 hp,69518 lb
3,RM500B,Road Reclaimers,Road Reclaimer,96 in,546 hp,62611 lb
4,RM600 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,636 hp,79397 lb
5,RM800 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,762 hp,75722 lb
6,RM400,Road Reclaimers,Road Reclaimer,96 in,415.7 hp,57682 lb
7,RM500 (Tier 4F / EU Stage V),Road Reclaimers,Road Reclaimer,96 in,546 hp,69518 lb
8,RM500B,Road Reclaimers,Road Reclaimer,96 in,546 hp,62611 lb
9,RM600 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,636 hp,79397 lb
10,RM800 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,762 hp,75722 lb
11,RM400,Road Reclaimers,Road Reclaimer,96 in,415.7 hp,57682 lb
12,RM500 (Tier 4F / EU Stage V),Road Reclaimers,Road Reclaimer,96 in,546 hp,69518 lb
13,RM500B,Road Reclaimers,Road Reclaimer,96 in,546 hp,62611 lb
14,RM600 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,636 hp,79397 lb
15,RM800 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,762 hp,75722 lb
16,RM400,Road Reclaimers,Road Reclaimer,96 in,415.7 hp,57682 lb
17,RM500 (Tier 4F / EU Stage V),Road Reclaimers,Road Reclaimer,96 in,546 hp,69518 lb
18,RM500B,Road Reclaimers,Road Reclaimer,96 in,546 hp,62611 lb
19,RM600 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,636 hp,79397 lb
20,RM800 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,762 hp,75722 lb
21,RM400,Road Reclaimers,Road Reclaimer,96 in,415.7 hp,57682 lb
22,RM500 (Tier 4F / EU Stage V),Road Reclaimers,Road Reclaimer,96 in,546 hp,69518 lb
23,RM500B,Road Reclaimers,Road Reclaimer,96 in,546 hp,62611 lb
24,RM600 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,636 hp,79397 lb
25,RM800 - Tier 4F / EU Stage V,Road Reclaimers,Road Reclaimer,96 in,762 hp,75722 lb
