equipment_type,gross_horsepower,image_url,operating_weight,model,product_url,capacity
Truck,"332 HP @ 2,000 rpm",https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_338e84f81fa446289bc788af68de9547?v=15214cbb,"117,892 lbs.",HM300-5,https://www.komatsu.com/en/products/trucks/articulated-trucks/hm300-5/,30.9 st
Truck,"473 HP @ 2,000 rpm",https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_0d9bf900cbb842e39e62e6a9b69ba8a9?v=64506b67,"165,644 lbs.",HM400-5,https://www.komatsu.com/en/products/trucks/articulated-trucks/hm400-5/,44.1 st
Truck,"518 HP @ 2,000 rpm",https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_61069306676443a48c7ac72166c69489?v=51654f7b,"155,999 lbs.",HD325-8,https://www.komatsu.com/en/products/trucks/mechanical-trucks/hd325-8/,40.3 st
Truck,"518 HP @ 2,000 rpm",https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_762dd9f8a9f1485aa98483e419d1cb72?v=b2df8661,"170,671 lbs.",HD405-8,https://www.komatsu.com/en/products/trucks/mechanical-trucks/hd405-8/,44.1 st
Truck,"818 HP @ 2,000 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_f47965a4ebd8498c8d11732871fe8dc1?v=4ed21cf5,"232,367 lbs.",HD465-10,https://www.komatsu.com/en/products/trucks/mechanical-trucks/hd465-10/,61.2 st
Truck,"818 HP @ 2,000 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_dbad2d1c7bdc4ac5954a2ab781e05521?v=e21e167a,"252,209 lbs.",HD605-10,https://www.komatsu.com/en/products/trucks/mechanical-trucks/hd605-10/,70.7 st
Truck,"1,200 HP @ 1,900 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_344bea2cfd81434d97689c4e6df8c205?v=2fe750c8,"365,967 lbs.",HD785-8,https://www.komatsu.com/en/products/trucks/mechanical-trucks/hd785-8/,101.6 st
Truck,"1,580 HP @ 1,900 rpm",https://komatsu.stylelabs.cloud/api/public/content/eb4280dcf957445daddde89d7f4e4f79_RelatedProducts?v=138a5dfd,"550,229 lbs.",HD1500-8E0,https://www.komatsu.com/en/products/trucks/mechanical-trucks/hd1500-8e0/,153.2 st
Truck,"2,000 HP @ 1,900 rpm",https://komatsu.stylelabs.cloud/api/public/content/related_cbd8d80d767442628e42371cf1855502?v=2e7b2fab,"745,328 lbs.",730E-10,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/730e-10/,205 st
Truck,"2,500 HP @ 1,800 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_ea65f68cbae743818ff22ce5f61f0c3c?v=6f94225a,"906,400 lbs.",830E-5,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/830e-5/,250 st
Truck,"2,700 HP @ 1,900 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_239823b23df0484c83848c83eafe6d6c?v=b465a7f2,"1,001,700 lbs.",860E-1K,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/860e-1k/,280 st
Truck,"2,700 HP @ 1,800 rpm",https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_5423a8faf61b41889a5b03e758965e28?v=76bde727,"1,150,000 lbs.",930E-5,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/930e-5/,320 st
Truck,"3,500 HP @ 1,800 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_2fd5760bf75e4295a0b1e01ef9645459?v=78fd0f3c,"1,150,000 lbs.",930E-5SE,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/930e-5se/,320 st
Truck,"3,500 HP @ 1,800 rpm",https://komatsu.stylelabs.cloud/api/public/content/Related_04be67257d51469180848d7f78438442?v=0a8ebf94,"1,384,500 lbs.",980E-5,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/980e-5/,400 st
Truck,"4,400 HP @ 1,800 rpm",https://komatsu.stylelabs.cloud/api/public/content/related_d75af90fe561417d9fbf78776ef9b65b?v=b589bf4d,"1,400,000 lbs.",980E-5SE,https://www.komatsu.com/en/products/trucks/electric-drive-mining-trucks/980e-5se/,400 st
