id,product_model_name,product_display_name,image_url,product_page_url,bucket_capacity_m³_iso_heaped,operating_weight_kg,engine_rated_power_kw,breakout_force_kn
1,ZW140-6,ZW140-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW140-6-1-e1645297646623,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw140-6/,2.8yd³ (2.1m³),"25,661lbs (11,640kg)",145HP (108kW),"23,850lbf (106kN)"
2,ZW150-6,ZW150-6,https://hitachikenki.scene7.com/is/image/hitachikenki/Hitachi-ZW150-wheel-loader-working-e1646431239824,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw150-6/,3.1yd³ (2.4m³),"27,029lbs (12,260kg)",144.8HP (108kW),"22,481lbf (100kN)"
3,ZW150PL-6,ZW150PL-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW150PL-6_Machine%20Photo_0001_front,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw150pl-6/,2.8yd³ (2.1m³),"27,010lbs (12,830kg)",145HP (108kW),"22,481lbf (100kN)"
4,ZW160-7,ZW160-7,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW160-7_For_-NA_market_Machine-PhotoOmiai_0007-e1704401945133,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw160-7/,2.6yd³ - 4.7yd³ (2m³ - 3.6m³),"28,467lbs - 29,983lbs (12,910kg - 13,600kg)",169HP (126kW),"22,311lbf (99kN)"
5,ZW160PL-7,ZW160PL-7,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW160PL-7_Machine%20Photo_0001_front1,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw160pl-7/,2.6yd³ - 4.7yd³ (2m³ - 3.6m³),"28,467lbs - 29,983lbs (12,910kg - 13,600kg)",169HP (126kW),"22,509lbf (100kN)"
6,ZW180-6,ZW180-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW180PL-6_Carousel6_580x900,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw180-6/,3.4yd³ - 4.2yd³ (2.6m³ - 3.2m³),"32,777lbs - 33,220lbs (14,860kg - 15,110kg)",173HP (129kW),"26,530lbf (118kN)"
7,ZW180PL-6,ZW180PL-6,https://hitachikenki.scene7.com/is/image/hitachikenki/_NSQ2993_1000,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw180pl-6/,3.4yd³ (2.6m³),"34,380lbs (15,590kg)",173HP (129kW),"24,530lbf (109kN)"
8,ZW180-7,ZW180-7,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW180-7_Machine%20Photo_0010_front2,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw180-7/,3.4 yd³ - 4.2 yd³ (2.6 m³ - 3.2 m³),"33,245 lb - 34,259 lb (15,080 kg - 15,540 kg)",168HP (129kW),"25,650 lbf (114 kN)"
9,ZW180PL-7,ZW180PL-7,https://hitachikenki.scene7.com/is/image/hitachikenki/zw180-7_machine_photoomiai_0006_pl_900x580,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw180pl-7/,3.4 yd³ - 4.2 yd³ (2.6 m³ - 3.2 m³),"33,245 lb - 34,259 lb (15,080 kg - 15,540 kg)",168 HP (125 kW),"25,650 lbf (114 kN)"
10,ZW220-6,ZW220-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW220-1-1-e1645297938620,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw220-6/,4.2yd³ - 4.7yd³ (3.2m³ - 3.6m³),"38,912lbs (17,650kg)",200HP (149kW),"32,630lbf (145kN)"
11,ZW220-7,ZW220-7,https://hitachikenki.scene7.com/is/image/hitachikenki/RAW_ZW220-7_-Machine-PhotoOmiai_0007-e1704403524681,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw220-7/,3.7 yd³ - 4.7 yd³ (2.8 m³ - 3.6 m³),"40,013 lb - 41,094 lb (18,150 kg - 18,640 kg)",204 HP (152 kW),"32,625 lbf (145 kN)"
12,ZW250-6,ZW250-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW250-1-1-e1645298190542-2,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw250-6/,4.8yd³ (3.7m³),"46,055lbs (20,890kg)",253HP (186kW),"35,330lbf (157kN)"
13,ZW310-6,ZW310-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW310-6_Carousel1_900x580,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw310-6/,5.5yd³ - 6.1yd³ (4.2m³ - 4.7m³),"53,310lbs (24,180kg)",311HP (232kW),"44,740lbf (199kN)"
14,ZW310-7,ZW310-7,https://hitachikenki.scene7.com/is/image/hitachikenki/zw310-7_front_main_img_0012-1,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw310-7/,5.5yd³ - 6.1yd³ (4.2m³ - 4.7m³),"54,190 lb – 54,851 lb (24,580 kg – 24,880 kg)",303 HP (226 kW),"44,776 lbf (199 kN)"
15,ZW330-6,ZW330-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW330-6-1-1-e1645298367529-2,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw330-6/,6.3yd³ (4.8m³),"58,158lbs (26,380kg)",311HP (232kW),"42,430lbf (189kN)"
16,ZW370-6,ZW370-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW370-6_Carousel2_900x580,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw370-6/,7.3yd³ (5.6m³),"73,789lb",389HP (290kW),"43,838lbf - 52,156lbf (195kN - 232kN)"
17,ZW370-6-HC,ZW370-6 HC,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW370-6HC_Carousel1_900x580,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw370-6-hc/,8.1yd³ - 8.5yd³ (6.2m³ - 6.5m³),"79,210lb - 79,400lb (35,920kg - 36,010kg)",389HP (290kW),"47,250lbf - 49,280lbf (210kN - 219kN)"
18,ZW550-6,ZW550-6,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW550-6_Carousel2_900x580,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw550-6/,8.3yd³ (6.3m³),"104,880lb (47,573kg)",520HP (382kW),"83,460lbf (371kN)"
19,ZW250-7,ZW250-7,https://hitachikenki.scene7.com/is/image/hitachikenki/ZW250-7_white%20bg_left_front_3%20quarters,https://www.hitachicm.com/us/en/products/wheel-loaders/medium-large/product.zw250-7/,4.8yd³  - 5.2yd³ (3.7m³ - 4m³),"46,100lbs - 47,290lbs (20,910kg - 21,450kg)",252 HP (188kW)," 34,690 lbf (15,730 kN)"
